regCodeExt	metaCondition	condition	conditionCode	context	contextCode	regName	variant	regCode	component	day	cycleTaken	cycleLength	noCycles	branchInfo	Radio.Therapy.	continuous	noCycles_Original	regString	shortString
97.57.1480.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-naive	57	Carboplatin & Gemcitabine (GCb)	1	1480	Carboplatin	1		28	3			TRUE	Cont.	21.Carboplatin;0.Gemcitabine;7.Gemcitabine;21.Carboplatin;0.Gemcitabine;7.Gemcitabine;	21.carboplatin;0.gemcitabine;7.gemcitabine;
97.57.1481.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-naive	57	Carboplatin & Gemcitabine/Erlotinib	1	1481	Carboplatin	1		28	3			FALSE	4	1.Carboplatin;0.Carboplatin;0.Gemcitabine;0.Gemcitabine;7.Gemcitabine;0.Gemcitabine;7.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Carboplatin;0.Carboplatin;0.Gemcitabine;0.Gemcitabine;7.Gemcitabine;0.Gemcitabine;7.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;1.Erlotinib;0.Erlotinib;	1.carboplatin;0.carboplatin;0.gemcitabine;0.gemcitabine;7.gemcitabine;0.gemcitabine;7.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;1.erlotinib;0.erlotinib;
97.59.1485.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-naive	59	Cisplatin & Gemcitabine/Erlotinib	1	1485	Cisplatin	1		28	3			FALSE	4	1.Cisplatin;0.Gemcitabine;7.Gemcitabine;7.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Cisplatin;0.Gemcitabine;7.Gemcitabine;7.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;	1.cisplatin;0.gemcitabine;7.gemcitabine;7.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;
97.59.1488.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-naive	59	Dacomitinib monotherapy	1	1488	Dacomitinib	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28		28	3			TRUE	Cont.	1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;1.Dacomitinib;	1.dacomitinib;1.dacomitinib;
97.59.1489.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-naive	59	Erlotinib monotherapy	1	1489	Erlotinib	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21		21	3			TRUE	Cont.	1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;	1.erlotinib;1.erlotinib;
97.59.1490.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-naive	59	Erlotinib & Bevacizumab	1	1490	Bevacizumab	1		21	3			TRUE	Cont.	1.Bevacizumab;0.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Bevacizumab;0.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;	1.bevacizumab;0.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;
97.59.1491.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-naive	59	Erlotinib & Ramucirumab	1	1491	Erlotinib	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14		14	3			TRUE	Cont.	1.Erlotinib;0.Ramucirumab;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;0.Ramucirumab;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;1.Erlotinib;	1.erlotinib;0.ramucirumab;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;1.erlotinib;
97.59.1492.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-naive	59	Furmonertinib monotherapy	1	1492	Furmonertinib	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21		21	3			TRUE	Cont.	1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;1.Furmonertinib;	1.furmonertinib;1.furmonertinib;
97.59.1493.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-naive	59	GCP	1	1493	Carboplatin	1		21	3			TRUE	Cont.	1.Carboplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Carboplatin;0.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;	1.carboplatin;0.gefitinib;0.pemetrexed;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;
97.59.1495.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-naive	59	Gefitinib & Pemetrexed	1	1495	Gefitinib	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21		21	3			TRUE	Cont.	1.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;0.Pemetrexed;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;	1.gefitinib;0.pemetrexed;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;1.gefitinib;
97.59.1499.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-exposed	59	Afatinib & Bevacizumab	1	1499	Afatinib	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21		21	3			TRUE	Cont.	1.Afatinib;0.Bevacizumab;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;0.Bevacizumab;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;	1.afatinib;0.bevacizumab;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;
97.59.1500.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR inhibitor-exposed	59	Afatinib & Cetuximab	1	1500	Afatinib	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14		14	3			TRUE	Cont.	1.Afatinib;0.Cetuximab;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;0.Cetuximab;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;	1.afatinib;0.cetuximab;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;1.afatinib;
97.59.1504.1	Thoraic Oncology	Non-small cell lung cancer, EGFR-mutated	97	Advanced or metastatic disease, EGFR p.T790M mutation	59	Docetaxel & Bevacizumab	1	1504	Bevacizumab	1		21	3			TRUE	Cont.	21.Bevacizumab;0.Docetaxel;21.Bevacizumab;0.Docetaxel;	21.bevacizumab;0.docetaxel;
98.59.1506.1	Thoraic Oncology	Non-small cell lung cancer, HER2-mutated	98	Metastatic disease, all lines of therapy	59	Trastuzumab deruxtecan monotherapy	1	1506	Trastuzumab deruxtecan	1		21	3			TRUE	Cont.	21.Trastuzumabderuxtecan;21.Trastuzumabderuxtecan;	21.trastuzumabderuxtecan;21.trastuzumabderuxtecan;
99.59.1507.1	Thoraic Oncology	Non-small cell lung cancer, KRAS-mutated	99	Advanced or metastatic disease, subsequent lines of therapy	59	Adagrasib monotherapy	1	1507	Adagrasib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;1.Adagrasib;	1.adagrasib;1.adagrasib;
99.59.1509.1	Thoraic Oncology	Non-small cell lung cancer, KRAS-mutated	99	Advanced or metastatic disease, subsequent lines of therapy	59	Sotorasib monotherapy	1	1509	Sotorasib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;1.Sotorasib;	1.sotorasib;1.sotorasib;
102.59.1522.1	Thoraic Oncology	Non-small cell lung cancer, CNS metastases	102	EGFR-mutated, all lines of therapy	59	Afatinib monotherapy	1	1522	Afatinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;1.Afatinib;	1.afatinib;1.afatinib;
102.59.1520.1	Thoraic Oncology	Non-small cell lung cancer, CNS metastases	102	ALK-mutated, all lines of therapy	59	Alectinib monotherapy	1	1520	Alectinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;1.Alectinib;	1.alectinib;1.alectinib;
95.55.1453.1	Thoraic Oncology	Non-small cell lung cancer, ALK-positive	95	Advanced or metastatic disease, ALK inhibitor-naive	55	Brigatinib monotherapy	1	1453	Brigatinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;1.Brigatinib;	1.brigatinib;1.brigatinib;
92.48.1354.1	Thoraic Oncology	Non-small cell lung cancer (NSCLC)	92	Advanced or metastatic disease, second-line	48	Cabozantinib & Erlotinib	1	1354	Cabozantinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;1.Cabozantinib;0.Erlotinib;	1.cabozantinib;0.erlotinib;
92.48.1353.1	Thoraic Oncology	Non-small cell lung cancer (NSCLC)	92	Advanced or metastatic disease, second-line	48	Cabozantinib monotherapy	1	1353	Cabozantinib	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28		28	3			TRUE	Cont.	1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;1.Cabozantinib;	1.cabozantinib;1.cabozantinib;
1011.59.1514.1	Thoraic Oncology	Non-small cell lung cancer, ROS1-positive	1011	Advanced or metastatic disease, ROS1 inhibitor-naive	59	Ceritinib monotherapy	1	1514	Ceritinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;1.Ceritinib;	1.ceritinib;1.ceritinib;
1011.59.1515.1	Thoraic Oncology	Non-small cell lung cancer, ROS1-positive	1011	Advanced or metastatic disease, ROS1 inhibitor-naive	59	Crizotinib monotherapy	1	1515	Crizotinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;1.Crizotinib;	1.crizotinib;1.crizotinib;
102.59.1524.1	Thoraic Oncology	Non-small cell lung cancer, CNS metastases	102	EGFR-mutated, all lines of therapy	59	Gefitinib monotherapy	1	1524	Gefitinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;1.Gefitinib;	1.gefitinib;1.gefitinib;
102.59.1526.1	Thoraic Oncology	Non-small cell lung cancer, CNS metastases	102	EGFR-mutated, all lines of therapy	59	Icotinib monotherapy	1	1526	Icotinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;1.Icotinib;	1.icotinib;1.icotinib;
1011.59.1517.1	Thoraic Oncology	Non-small cell lung cancer, ROS1-positive	1011	Advanced or metastatic disease, ROS1 inhibitor-exosed	59	Lorlatinib monotherapy	1	1517	Lorlatinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;1.Lorlatinib;	1.lorlatinib;1.lorlatinib;
102.59.1527.1	Thoraic Oncology	Non-small cell lung cancer, CNS metastases	102	EGFR-mutated, all lines of therapy	59	Osimertinib monotherapy	1	1527	Osimertinib	1, 2, 3, 4, 5, 6, 7		7	3			TRUE	Cont.	1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;1.Osimertinib;	1.osimertinib;1.osimertinib;
92.7.1293.1	Thoraic Oncology	Non-small cell lung cancer (NSCLC)	92	Adjuvant therapy	7	Tegafur & uracil monotherapy	1	1293	Tegafur and uracil	1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28		28	3			TRUE	Cont.	1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;1.Tegafuranduracil;	1.tegafuranduracil;1.tegafuranduracil;
92.19.1311.1	Thoraic Oncology	Non-small cell lung cancer (NSCLC)	92	Advanced or metastatic disease, first-line	19	Carboplatin & Gemcitabine (GCb)	1	1311	Carboplatin	1		21	3			TRUE	Cont.	14.Carboplatin;0.Gemcitabine;7.Gemcitabine;14.Carboplatin;0.Gemcitabine;7.Gemcitabine;	14.carboplatin;0.gemcitabine;7.gemcitabine;
92.1.1280.1	Thoraic Oncology	Non-small cell lung cancer (NSCLC)	92	Neoadjuvant therapy	1	Cisplatin & Gemcitabine (GC)	1	1280	Cisplatin	1		21	3			TRUE	Cont.	14.Cisplatin;0.Gemcitabine;7.Gemcitabine;14.Cisplatin;0.Gemcitabine;7.Gemcitabine;	14.cisplatin;0.gemcitabine;7.gemcitabine;
103.63.1533.1	Thoraic Oncology	Small cell lung cancer	103	Limited stage, consolidation after upfront therapy	63	Cisplatin & Irinotecan (IC)	1	1533	Cisplatin	1		28	3			TRUE	Cont.	14.Cisplatin;0.Irinotecan;7.Irinotecan;7.Irinotecan;14.Cisplatin;0.Irinotecan;7.Irinotecan;7.Irinotecan;	14.cisplatin;0.irinotecan;7.irinotecan;7.irinotecan;
92.1.1281.1	Thoraic Oncology	Non-small cell lung cancer (NSCLC)	92	Neoadjuvant therapy	1	Cisplatin & Vinorelbine (CVb)	1	1281	Cisplatin	1		21	3			FALSE	3	14.Cisplatin;0.Vinorelbine;7.Vinorelbine;14.Cisplatin;0.Vinorelbine;7.Vinorelbine;	14.cisplatin;0.vinorelbine;7.vinorelbine;
92.41.1342.1	Thoraic Oncology	Non-small cell lung cancer (NSCLC)	92	Advanced or metastatic disease, first-line, elderly or poor performance status	41	Docetaxel monotherapy	1	1342	Docetaxel	1,8,15		28	3			TRUE	Cont.	14.Docetaxel;7.Docetaxel;7.Docetaxel;14.Docetaxel;7.Docetaxel;7.Docetaxel;	14.docetaxel;7.docetaxel;7.docetaxel;
